DATE,Incubator,Start Date,End Date,Tank Name,Male,Female,Spawn Type,Time Found,Cleavage,Day of Cycle,Total # of tanks,Notes
02-10-2020,YELLOW,01-29-2020,05-18-20,Y_H2_H2_H2_H2_H2_012920,NA,H2,eggs,9:30,,6,10,
02-11-2020,YELLOW,12-04-2019,NA,Y_CC7_CC7_120419,CC7,NA,sperm,9:30,,7,10,
02-11-2020,YELLOW,08-19-2019,03-16-2020,Y_CC7_CC7_081919,CC7,NA,sperm,9:30,,7,10,
02-11-2020,YELLOW,01-29-2020,05-18-20,Y_H2_H2_H2_H2_H2_012920,NA,H2,eggs,9:30,,7,10,
02-11-2020,Green (Newest),11-27-2019,09-15-2020,G_CC7x3(FROM1121)_112719,CC7,NA,sperm,9:30,,16,10,
02-11-2020,Green (Newest),08-12-2019,02-27-2020,G_PLF3x3_081219,NA,PLF3,eggs,9:45,,16,10,
02-12-2020,YELLOW,01-29-2020,07-13-2020,Y_CC7x5_012920,CC7,NA,sperm,9:30,,8,10,
02-12-2020,YELLOW,01-29-2020,NA,Y_CC7x3_012920,CC7,NA,sperm,9:30,,8,10,
02-12-2020,Green (Newest),11-27-2019,09-15-2020,G_CC7x3(FROM1121)_112719,CC7,NA,sperm,9:30,,17,10,
02-12-2020,YELLOW,12-04-2019,NA,Y_CC7x4(FROM031619)_120419,CC7,NA,sperm,9:30,,8,10,
02-12-2020,YELLOW,12-04-2019,NA,Y_CC7_CC7_120419,CC7,NA,sperm,9:30,,8,10,
02-12-2020,YELLOW,08-19-2019,03-16-2020,Y_CC7_CC7_081919,CC7,NA,sperm,9:30,,8,10,
02-12-2020,YELLOW,08-19-2019,NA,Y_PLF3_PLF3_PLF3_081919,NA,PLF3,eggs,9:30,,8,10,
02-12-2020,YELLOW,08-19-2019,02-25-2020,Y_PLF3_PLF3_081919,NA,PLF3,eggs,9:30,,8,10,
02-12-2020,Green (Newest),08-12-2019,02-27-2020,G_PLF3x3_081219,NA,PLF3,eggs,9:30,,17,10,
02-12-2020,Green (Newest),11-27-2019,02-27-2020,G_PLF3x4_112719,NA,PLF3,eggs,9:30,,17,10,
02-12-2020,YELLOW,08-19-2019,02-25-2020,Y_PLF3_PLF3_081919,NA,PLF3,eggs,10:34,,8,10,
02-13-2020,YELLOW,12-04-2019,NA,Y_CC7x4(FROM031619)_120419,CC7,NA,sperm,10:05,,9,10,
02-13-2020,YELLOW,12-04-2019,02-27-2020,Y_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,10:05,,9,10,
